Food & Beverages,Inflight Entertainment,Seat Comfort,Staff Service,Value for Money,Aircraft,Type Of Traveller,Seat Type,Route,Date Flown,Cabin Staff Service,Ground Service,Value For Money,Recommended,Wifi & Connectivity
,,3,,,A319,Couple Leisure,Economy Class,Venice to Gatwick,Jul-17,4,3,3,no,
,,3,,,,Family Leisure,Economy Class,Bucharest to London,Jul-17,2,1,1,no,
1,1,1,,,Boeing 747,Business,Business Class,London Heathrow to Accra,Jul-17,2,1,1,no,
2,3,4,,,Boeing 777,Family Leisure,Economy Class,Gatwick to Orlando,Jul-17,3,1,3,no,
2,2,1,,,Boeing 777,Solo Leisure,Business Class,San Diego to London,Jul-17,2,2,1,no,1
3,,3,,,A319,Couple Leisure,Business Class,Pisa to London Gatwick,Jul-17,4,3,5,yes,
1,1,1,,,,Business,Economy Class,Budapest to London,Jul-17,1,1,1,no,1
,,,,,,Solo Leisure,Economy Class,Bangkok to Manchester,Aug-16,,1,3,no,
1,1,1,,,,Solo Leisure,Economy Class,Singapore to Newcastle via London,May-17,3,1,1,no,
1,2,2,,,,Business,Economy Class,Bergen to London Heathrow,Jul-17,2,2,1,no,1
5,5,5,,,Boeing 777-300,Family Leisure,Economy Class,Newcastle to Boston via London,Jul-17,5,4,4,yes,
1,,2,,,A321,Family Leisure,Economy Class,London Heathrow to Sofia,Jul-17,1,1,1,no,
1,,3,,,A320,Solo Leisure,Economy Class,London to Frankfurt,Aug-16,1,2,2,no,
3,,3,,,A321,Couple Leisure,Economy Class,London Heathrow to Bologna,Jul-17,4,4,5,yes,
1,3,2,,,Boeing 747,Couple Leisure,Economy Class,London Heathrow to New York JFK,Jul-17,1,2,1,no,
1,,1,,,,Business,Economy Class,London Heathrow to Berlin,Jul-17,1,1,1,no,
4,,2,,,A321 / Boeing 777,Couple Leisure,Business Class,Barcelona to Boston via London,Jul-17,5,3,1,no,1
1,1,2,,,A321,Solo Leisure,Economy Class,London to Madrid,Jul-17,3,3,4,no,1
,,2,,,A319,Business,Economy Class,London to Brussels,Jul-17,2,2,2,no,
1,1,1,,,Boeing 747 400,Business,Business Class,London Heathrow to Accra,Jul-17,3,1,1,no,
1,,3,,,,Business,Economy Class,Krakow to London,May-17,1,2,2,no,
4,4,4,,,Boeing 777-200,Family Leisure,Economy Class,Gatwick to Bridgetown,Jul-17,4,4,4,yes,
2,1,4,,,Boeing 777,Business,Business Class,Dubai to London,Jul-17,2,1,2,no,
1,,1,,,A321,Couple Leisure,Economy Class,London to Sofia,Jun-17,1,3,1,no,
3,3,3,,,Boeing 777-200,Family Leisure,Business Class,Mauritius to Gatwick,Jul-17,3,3,3,yes,
1,1,1,,,Boeing 747,Business,Business Class,New York JFK to London Heathrow,Jul-17,1,2,1,no,
1,1,3,,,A320,Business,Economy Class,Athens to London Heathrow,Jul-17,2,3,3,yes,
,,3,,,,Couple Leisure,Economy Class,Venice to Gatwick,Jul-17,1,1,1,no,
2,3,1,,,,Couple Leisure,Economy Class,New York JFK to Manchester via Heathrow,Feb-17,2,1,2,no,
5,4,4,,,Boeing 747-400,Solo Leisure,Economy Class,London to Boston,Apr-17,5,4,5,yes,
4,,4,,,,Couple Leisure,Business Class,Naples to Gatwick,Jul-17,3,3,2,no,
1,2,1,,,Boeing 777,Business,Business Class,Toronto to London Heathrow,Jun-17,4,3,1,no,
1,1,2,,,,Solo Leisure,Economy Class,London to Montreal,Jun-17,2,3,2,no,
4,,4,,,A320,Couple Leisure,Business Class,Newcastle to Geneva via London,Jul-17,5,3,4,yes,
5,,4,,,A320,Couple Leisure,Economy Class,London to Keflavik,Jun-17,5,5,4,yes,
5,4,4,,,Boeing 777,Solo Leisure,Economy Class,London to Tokyo,Jul-17,5,5,5,yes,
1,4,1,,,Boeing 777,Couple Leisure,Economy Class,Gatwick to Mauritius,Jun-17,3,3,3,no,
,2,1,,,Boeing 777 / A320,Couple Leisure,Premium Economy,Boston to Barcelona via London,Jul-17,1,2,2,no,
3,2,3,,,Boeing 777-200,Family Leisure,Business Class,Gatwick to Mauritius,Jul-17,3,4,3,yes,
1,1,2,,,Boeing 767,Family Leisure,Economy Class,London Heathrow to Larnaca,Jun-17,1,4,3,no,1
2,2,2,,,,Business,Premium Economy,London to Hong Kong,Jun-17,2,3,2,no,
,,3,,,,Solo Leisure,Economy Class,Belfast to Munich via Heathrow,Jul-17,4,1,1,no,
5,5,5,,,Boeing 787-9,Couple Leisure,First Class,Kuala Lumpur to London,Jun-17,5,5,5,yes,
,,2,,,,Business,Economy Class,Frankfurt to London Heathrow,Jun-17,2,1,1,no,
1,1,1,,,Boeing 747,Business,Business Class,Heathrow to Accra,Jun-17,2,1,1,no,
,,,,,,Couple Leisure,Business Class,London Heathrow to Seattle,Jun-17,,1,3,no,
1,,3,,,A320,Solo Leisure,Economy Class,Mykonos to London,Jun-17,1,3,1,no,
1,,1,,,,Couple Leisure,Economy Class,Zurich to London Heathrow,Jun-17,1,4,1,no,
1,,2,,,Boeing 767,Couple Leisure,Economy Class,Rome to Heathrow,Jun-17,2,1,1,no,
3,4,2,,,Boeing 787,Couple Leisure,Business Class,Chennai to London,Nov-16,2,2,2,no,
1,,1,,,A321,Couple Leisure,Business Class,London Gatwick to Genoa,Jun-17,4,4,2,no,
1,1,1,,,Boeing 777,Business,Business Class,Beijing to London Heathrow,Jun-17,2,2,2,no,
1,,4,,,,Couple Leisure,Economy Class,Corfu to London,Jun-17,1,3,1,no,
,,1,,,,Couple Leisure,Economy Class,Heathrow to Santorini,May-17,1,1,1,no,
4,4,4,,,A319 / A380 / Boeing 737,Couple Leisure,Premium Economy,Leeds to Durban via London / Johannesburg,Jun-17,4,4,4,yes,
3,,5,,,,Solo Leisure,Economy Class,London Heathrow to Dublin,Jun-17,5,1,2,yes,
3,1,1,,,,Business,Premium Economy,Bangkok to Luxembourg via London,Jun-17,3,1,3,no,
,,2,,,A319,Business,Economy Class,London Heathrow to Paris Orly,Jun-17,2,1,1,no,
1,2,1,,,,Solo Leisure,Premium Economy,New York JFK to Copenhagen via Heathrow,Jun-17,2,1,1,no,
1,1,1,,,,Business,Economy Class,London to Hamburg,May-17,1,1,1,no,
2,4,3,,,A380-800,Solo Leisure,Premium Economy,Singapore to London Heathrow,Jun-17,2,4,1,no,
1,2,1,,,,Business,Business Class,Singapore to London,Jun-17,1,1,1,no,
3,2,3,,,Boeing 777-200,Solo Leisure,Premium Economy,Toronto to London,May-17,3,5,3,no,
1,1,1,,,A320,Business,Economy Class,Dublin to Marseille via London,Jun-17,1,1,1,no,1
1,5,4,,,A380,Business,Premium Economy,Johannesburg to London,Jun-17,1,4,2,no,
3,,4,,,A319,Couple Leisure,Business Class,Valencia to London Gatwick,Jun-17,5,1,4,no,
1,,2,,,A320 / Boeing 767,Business,Business Class,London to Edinburgh,Jun-17,2,3,2,no,
4,,4,,,A319,Couple Leisure,Business Class,London Gatwick to Valencia,Jun-17,5,4,4,yes,
,,2,,,,Solo Leisure,Economy Class,Brussels to Rome via London,Jun-17,1,3,4,yes,
1,1,1,,,Boeing 777-200,Couple Leisure,Premium Economy,Antigua to Gatwick,Jun-17,1,1,1,yes,
1,,2,,,Boeing 767,Solo Leisure,Business Class,London Heathrow to Madrid,Jun-17,1,4,2,no,
4,,3,,,A319,Family Leisure,Business Class,Gatwick to Alicante,Jun-17,5,5,5,yes,
1,1,1,,,Boeing 777-200,Couple Leisure,Economy Class,Gatwick to Antigua,Jun-17,2,2,2,no,
1,1,2,,,E190,Business,Business Class,London City to Milan,Jun-17,4,2,1,no,
2,3,2,,,Boeing 747 & A319,Couple Leisure,Premium Economy,Boston to Geneva via Heathrow,Jun-17,4,1,2,no,
1,,1,,,A320,Couple Leisure,Economy Class,Gatwick to Bordeaux,Jan-17,2,1,1,yes,
1,1,1,,,Boeing 747-400,Business,Premium Economy,London to Boston,Jun-17,3,1,1,no,1
2,,1,,,A320,Family Leisure,Economy Class,Istanbul to London,May-17,2,3,3,no,
,,,,,,Business,Business Class,London to Mumbai,Jun-17,,1,1,no,
,,1,,,,Business,Business Class,Dusseldorf to London City,Jun-17,1,2,1,no,
2,3,2,,,A380,Couple Leisure,Premium Economy,London Heathrow to Sydney via Singapore,Apr-17,2,2,1,no,
4,4,4,,,Boeing 777-300,Solo Leisure,Premium Economy,London Heathrow to Hong Kong,Jun-17,4,5,2,yes,
2,2,3,,,Boeing 747,Family Leisure,First Class,London to Dubai,May-17,5,1,1,no,
1,3,2,,,A380,Business,Business Class,London to Vancouver,Jun-17,1,4,1,no,
1,4,3,,,Boeing 787-9,Couple Leisure,Premium Economy,Tokyo to London Heathrow,Jun-17,1,3,2,no,
1,1,1,,,Boeing 747,Family Leisure,Economy Class,Heathrow to Miami,Jun-17,2,3,2,no,
,,4,,,A19,Couple Leisure,Economy Class,London Heathrow to Brussels,Jun-17,4,5,4,yes,
1,,2,,,,Business,Economy Class,London Heathrow to Lisbon,Jun-17,3,1,1,no,
2,2,3,,,Boeing 777,Couple Leisure,Business Class,Lima to London Gatwick,May-17,1,3,1,no,
2,5,1,,,A380-800,Couple Leisure,Economy Class,London to Johannesburg,Jun-17,1,1,1,no,
5,,5,,,Boeing 747-400 / A320,Solo Leisure,Premium Economy,Washington to Sofia via London,May-17,5,5,5,yes,
,,2,,,,Couple Leisure,Economy Class,Edinburgh to Rome via Heathrow,Jun-17,1,1,1,no,
1,,1,,,Boeing 767,Couple Leisure,Business Class,Rome to London Heathrow,May-17,1,1,1,no,
1,1,2,,,,Business,Economy Class,Tampa to Tirana via Gatwick,Apr-17,3,3,2,no,1
1,4,1,,,Boeing 747-400,Business,Business Class,Chicago to London Heathrow,May-17,1,1,1,no,1
,,1,,,A321,Couple Leisure,Economy Class,Gatwick to Funchal,May-17,2,3,1,no,
1,3,4,,,Boeing 787-9,Couple Leisure,First Class,London Heathrow to Tokyo Narita,May-17,2,5,1,no,
1,1,2,,,A320,Couple Leisure,Business Class,Luxembourg to London,May-17,3,3,2,no,1
,,2,,,,Business,Premium Economy,Geneva to Dallas via Heathrow,May-17,3,1,1,no,
1,1,3,,,A319,Family Leisure,Economy Class,Heathrow to Bergen,May-17,2,2,1,no,1
4,3,4,,,Boeing 787-8,Business,Business Class,Seoul to London,May-17,5,3,3,no,
2,4,3,,,,Business,Business Class,Los Angeles to London,May-17,1,3,3,no,1
,,2,,,,Solo Leisure,Economy Class,London Heathrow to Geneva,May-17,5,1,1,no,
4,2,4,,,Boeing 777,Couple Leisure,Business Class,Gatwick to Lima,Apr-17,4,3,4,yes,
1,,1,,,A320,Business,Business Class,London Heathrow to Santorini,May-17,2,2,1,no,
,,3,,,A320,Solo Leisure,Economy Class,London Heathrow to Bilbao,Apr-17,3,4,2,no,
1,,3,,,,Couple Leisure,Economy Class,Madeira to Gatwick,May-17,2,3,2,no,
,,3,,,,Business,Economy Class,Edinburgh to Gatwick,Apr-17,2,3,3,no,
,,1,,,,Family Leisure,Economy Class,Rome to London,May-17,1,1,1,no,
1,5,4,,,Boeing 787-9,Solo Leisure,Economy Class,Kuala Lumpur to London,May-17,1,5,4,yes,
5,5,4,,,Boeing 787,Solo Leisure,Economy Class,London to Kuala Lumpur,May-17,5,5,5,yes,
1,1,2,,,Boeing 747-400,Business,Business Class,London Heathrow to Miami,May-17,4,1,1,no,
3,3,3,,,A321 / Boeing 777,Solo Leisure,Economy Class,Moscow to Houston via London,May-17,3,3,4,yes,
,1,3,,,A319,Business,Economy Class,London to Brussels,Apr-17,4,4,2,no,1
3,3,1,,,,Solo Leisure,Economy Class,London Heathrow to Las Vegas,Apr-17,1,3,1,no,
5,4,4,,,Boeing 747,Couple Leisure,Economy Class,London to San Francisco,May-17,5,4,4,yes,
,,,,,,Family Leisure,Economy Class,London to Reykjavik,Dec-16,,1,1,no,
4,4,4,,,A321 / Boeing 777-300,Couple Leisure,Economy Class,Amsterdam to Tokyo via London,Apr-17,5,3,4,yes,
2,2,3,,,Boeing 777-200,Couple Leisure,Business Class,Antigua to Gatwick,May-17,2,4,3,no,
4,,4,,,,Business,Economy Class,London to Amsterdam,May-17,4,1,3,no,
5,3,5,,,Boeing 777-200,Family Leisure,Economy Class,Orlando to Gatwick,May-17,5,5,5,yes,
,,,,,,Business,Economy Class,London to Hong Kong,Apr-17,,1,1,no,
4,,4,,,Boeing 777,Solo Leisure,Premium Economy,London to Toronto,May-17,5,4,4,yes,
2,1,3,,,,Business,Business Class,Mexico City to Copenhagen via London,May-17,2,4,5,yes,
2,4,3,,,Boeing 787,Business,Business Class,London to Santiago de Chile,May-17,4,3,3,no,
3,,3,,,A320,Business,Economy Class,Gatwick to Amsterdam,Feb-17,5,1,2,no,
1,,1,,,Boeing 767,Couple Leisure,Economy Class,London Heathrow to Nice,Apr-17,2,4,1,no,
1,2,3,,,,Solo Leisure,Economy Class,Athens to London,May-17,3,3,2,no,
1,3,1,,,Boeing 747-400,Couple Leisure,Economy Class,London to Cape Town,Apr-17,1,4,1,no,
5,,4,,,A320,Couple Leisure,Business Class,LHR to TXL,May-17,5,5,5,yes,
1,1,1,,,Boeing 777,Couple Leisure,Premium Economy,Rio de Janeiro to London,May-17,1,1,1,no,
,,2,,,A320,Business,Economy Class,London to Edinburgh,May-17,1,1,1,no,
1,,1,,,,Couple Leisure,Economy Class,New York JFK to London,May-17,1,1,1,no,
3,1,4,,,Boeing 777-300,Couple Leisure,Business Class,Gatwick to Antigua,Apr-17,4,4,4,yes,
3,2,3,,,A320,Business,Business Class,Berlin Tegel to London,May-17,5,4,4,yes,1
3,,3,,,Embraer,Solo Leisure,Economy Class,London City to Bergerac,May-17,4,3,4,no,
5,3,5,,,,Business,Economy Class,"Manchester, UK to Billund, Denmark",May-17,5,5,5,yes,
1,2,2,,,Boeing 777 200/300,Business,Premium Economy,London Heathrow to Bangkok,Apr-17,1,3,2,no,
1,,2,,,,Business,Business Class,Funchal to Edinburgh via Heathrow,Apr-17,1,1,3,no,
3,4,4,,,A380 and Boeing 747,Couple Leisure,First Class,London Heathrow to Miami,Apr-17,5,5,5,no,
3,4,3,,,A380,Business,Economy Class,Singapore to London Heathrow,May-17,4,5,4,yes,
1,,1,,,A320,Solo Leisure,Economy Class,Nice to London Heathrow,Mar-17,1,1,1,no,
,,1,,,,Family Leisure,Economy Class,London to Male,Mar-17,2,1,1,no,
,,1,,,,Solo Leisure,Economy Class,Rome to London Heathrow,May-17,1,1,1,no,
,1,1,,,A320,Family Leisure,Economy Class,Keflavik to London,Apr-17,1,1,1,no,
2,1,1,,,Boeing 747-400,Couple Leisure,Premium Economy,Glasgow to Chicago via Heathrow,Apr-17,3,3,1,no,
,,,,,Boeing 777 200,Business,Business Class,Bahrain to Dublin via london,May-17,,1,1,no,
1,,3,,,A319,Solo Leisure,Economy Class,London to Edinburgh,May-17,1,4,1,no,
1,,2,,,A320,Solo Leisure,Economy Class,London Heathrow to Vienna,Apr-17,1,4,1,no,
2,3,3,,,Boeing 777,Couple Leisure,Economy Class,Hong Kong to London Heathrow,May-17,3,5,3,yes,
1,,4,,,A320,Couple Leisure,Economy Class,London Heathrow to Budapest,Apr-17,1,3,2,no,
,,4,,,Boeing 767,Solo Leisure,Economy Class,Zürich to London,Apr-17,5,4,4,yes,
1,,1,,,,Solo Leisure,Business Class,Dublin to London,Aug-16,3,2,1,no,
4,4,5,,,Boeing 777-200,Family Leisure,Economy Class,London Gatwick to Orlando,Apr-17,5,5,5,yes,
1,,3,,,A321,Couple Leisure,Economy Class,Aberdeen to London,Apr-17,2,3,1,no,
1,2,3,,,,Business,Premium Economy,London to Toronto,Apr-17,2,1,1,no,
5,5,5,,,A380,Family Leisure,Economy Class,London to Boston,Apr-17,5,4,4,yes,
1,2,3,,,Boeing 787-8,Couple Leisure,First Class,Newark to London Heathrow,Apr-17,4,3,3,no,
2,2,3,,,Boeing 777-200,Couple Leisure,First Class,London to Newark,Apr-17,4,4,2,no,
4,,2,,,A320,Couple Leisure,Business Class,Pisa to Gatwick,Apr-17,4,2,2,no,
5,5,4,,,A380-800,Couple Leisure,Economy Class,Heathrow to San Francisco,Feb-17,5,5,5,yes,
1,,3,,,,Couple Leisure,Economy Class,Berlin to London,Apr-17,1,2,2,no,
1,,2,,,A319,Couple Leisure,Business Class,Gatwick to Pisa,Apr-17,4,4,2,no,
1,1,4,,,,Family Leisure,Economy Class,London Heathrow to Phoenix,Apr-17,3,3,1,no,
5,5,5,,,Boeing 777,Couple Leisure,Business Class,St Lucia to Gatwick,Apr-17,5,5,4,yes,
4,3,4,,,,Couple Leisure,Business Class,London Heathrow to Bangkok,Apr-17,4,3,4,yes,3
2,3,4,,,A380,Couple Leisure,Economy Class,Singapore to London Heathrow,Apr-17,3,4,3,no,
1,,2,,,,Business,Economy Class,London to Stockholm Arlanda,Apr-17,3,2,2,no,
1,1,3,,,Boeing 777,Solo Leisure,Economy Class,Bangkok to London Heathrow,Mar-17,3,2,1,no,1
1,1,1,,,,Solo Leisure,Economy Class,Istanbul to London,Apr-17,1,1,1,no,1
2,3,1,,,Boeing 787-8,Business,Economy Class,London to Seoul,Mar-17,4,4,2,no,
1,1,1,,,,Business,Economy Class,Paris to London Heathrow,Apr-17,1,1,1,no,
5,4,5,,,A380,Couple Leisure,Premium Economy,Heathrow to San Francisco,Apr-17,5,3,5,yes,
3,3,2,,,Boeing 777-300,Business,Business Class,Buenos Aires to London,Apr-17,4,4,3,no,
1,,2,,,A319,Couple Leisure,Business Class,Gatwick to Pisa,Apr-17,5,5,3,no,
3,3,1,,,,Solo Leisure,Economy Class,London to Dubai,Apr-17,1,3,3,no,
1,,2,,,A319,Business,Economy Class,Stuttgart to London,Apr-17,1,1,1,no,
1,,2,,,A319,Family Leisure,Business Class,Nice to Gatwick,Mar-17,4,3,1,no,
4,3,5,,,Boeing 777-200ER,Solo Leisure,Business Class,London LGW to Lima,Apr-17,5,5,4,yes,
1,1,1,,,Boeing 777,Solo Leisure,Business Class,Punta Cana to Gatwick,Apr-17,1,4,2,no,
1,3,3,,,Boeing 777-200 / 747-400,Family Leisure,Economy Class,London to Washington,Apr-17,4,3,3,no,1
1,4,5,,,Boeing 747-400,Family Leisure,Economy Class,London to New York JFK,Apr-17,4,4,4,yes,
2,,2,,,A320,Solo Leisure,Economy Class,Malaga to Gatwick,Apr-17,1,5,1,no,
3,4,4,,,Boeing 747-400,Couple Leisure,Economy Class,Stavanger to Las Vegas via London,Apr-17,4,5,4,yes,
1,5,1,,,,Solo Leisure,Economy Class,London to Moscow,Apr-17,3,2,1,no,1
3,3,4,,,,Business,Business Class,Copenhagen to Mexico via London,Mar-17,4,4,5,yes,
1,,2,,,A320,Business,Economy Class,Gatwick to Rome,Apr-17,3,3,2,no,
1,,2,,,,Solo Leisure,Economy Class,Prague to London,Apr-17,1,3,1,no,
1,1,1,,,A320,Business,Business Class,LHR to IST,Apr-17,1,1,3,no,1
1,3,1,,,,Solo Leisure,Economy Class,ORY to JFK via LHR,Apr-17,1,1,2,no,
1,2,1,,,Boeing 747-400,Solo Leisure,Economy Class,Los Angeles to London Heathrow,Feb-17,3,3,1,no,
1,,4,,,A321,Business,Economy Class,London to Milan,Apr-17,1,1,1,yes,
1,1,2,,,,Family Leisure,Economy Class,London to Nice,Apr-17,2,1,1,no,
2,1,1,,,,Solo Leisure,Economy Class,Baltimore to Nice via London,Apr-17,3,2,2,no,
5,4,5,,,Boeing 777,Family Leisure,Business Class,Sofia to Boston via London,Apr-17,5,5,5,yes,
4,5,5,,,B777-300ER / A320 / A380,Couple Leisure,Business Class,Copenhagen to Hong Kong via London,Mar-17,5,5,5,yes,
1,1,3,,,,Solo Leisure,Economy Class,London to Larnaca,Apr-17,2,3,1,no,1
1,,3,,,Boeing 777,Couple Leisure,Business Class,London Gatwick to San Jose Costa Rica,Apr-17,1,4,2,no,
1,3,1,,,,Family Leisure,Economy Class,London Heathrow to New York JFK,Apr-17,2,1,1,no,1
2,5,2,,,,Couple Leisure,Economy Class,London to New Delhi,Nov-16,1,1,2,no,
1,1,1,,,Boeing 747,Business,Premium Economy,San Diego to London,Mar-17,2,1,1,no,
2,2,2,,,Boeing 777-200,Solo Leisure,Economy Class,Philadelphia to Edinburgh via Heathrow,Jan-17,4,5,4,no,
1,1,2,,,Boeing 747-400,Business,Business Class,London Heathrow to New York JFK,Mar-17,3,2,1,no,
1,1,1,,,,Couple Leisure,Business Class,London to Singapore,Nov-16,1,1,1,no,1
4,1,1,,,Boeing 767,Couple Leisure,Business Class,Rome to London,Apr-17,4,1,3,no,1
1,2,1,,,Boeing 787-8,Business,Economy Class,London to New Orleans,Apr-17,3,2,1,no,1
4,,3,,,A219,Couple Leisure,Business Class,London Heathrow to Brussels,Mar-17,5,4,3,yes,
2,4,3,,,A380,Business,Business Class,Miami to London,Mar-17,5,4,2,no,
1,2,3,,,Boeing 747,Business,Premium Economy,Cape Town to Berlin via London,Jan-17,5,3,1,no,
1,,3,,,A320,Couple Leisure,Economy Class,Marrakech to London Gatwick,Apr-17,1,3,3,no,
1,,1,,,,Solo Leisure,Economy Class,London Heathrow to Rome,Apr-17,1,1,2,no,
1,1,3,,,A320,Business,Economy Class,London Heathrow to Munich,Mar-17,3,3,3,no,
1,,2,,,A320,Couple Leisure,Economy Class,Belfast to Gibraltar via Heathrow,Apr-17,3,3,3,no,
3,2,2,,,,Couple Leisure,Business Class,Gatwick to Cancun,Feb-17,5,1,1,no,1
1,1,1,,,,Couple Leisure,Economy Class,Malaga to Gatwick,Mar-17,1,1,2,no,1
2,5,4,,,Boeing 747,Business,Economy Class,London to New York,Mar-17,2,3,3,no,
4,4,5,,,Boeing 777,Family Leisure,Business Class,Gatwick to Grenada,Mar-17,5,5,1,no,
1,1,4,,,A320-200,Business,Economy Class,Lisbon to London,Mar-17,3,2,1,no,
1,3,1,,,,Family Leisure,Economy Class,Amsterdam to Cape Town via Gatwick,Mar-17,2,3,1,no,
1,1,1,,,Boeing 747,Business,Economy Class,Miami to London,Jan-17,3,1,1,no,
1,3,3,,,A380,Business,Economy Class,London to Los Angeles,Mar-17,1,3,1,no,
3,4,4,,,Boeing 777,Couple Leisure,Business Class,Mauritius to Gatwick,Mar-17,1,5,2,no,
1,2,4,,,A380,Couple Leisure,Premium Economy,London Heathrow to Hong Kong,Mar-17,4,3,2,no,
1,1,2,,,,Business,Business Class,Frankfurt to Hong Kong via London,Mar-17,4,2,2,no,1
4,,4,,,Boeing 777,Couple Leisure,Premium Economy,London to Nairobi,Feb-17,5,4,4,yes,
,,2,,,A319,Business,Economy Class,London Heathrow to Edinburgh,Mar-17,5,2,1,no,
2,2,1,,,Boeing 777,Couple Leisure,Business Class,Toronto to Berlin via London,Mar-17,4,3,1,no,
,,,,,,Solo Leisure,Economy Class,London to Istanbul,Mar-17,,,1,no,
1,3,4,,,Boeing 787-9,Couple Leisure,Economy Class,London Heathrow to Dubai,Mar-17,1,4,1,no,4
3,3,1,,,Boeing 747-400,Solo Leisure,Economy Class,London Heathrow to Johannesburg,Mar-17,3,3,2,no,
1,,1,,,,Solo Leisure,Economy Class,Montreal to Athens via Heathrow,Jan-17,1,1,1,no,
3,,1,,,A320,Solo Leisure,Business Class,London Heathrow to Innsbruck,Mar-17,4,2,3,yes,
3,,1,,,A320,Business,Business Class,London Heathrow to Dublin,Mar-17,3,3,1,no,
1,,2,,,,Business,Economy Class,London to Dublin,Mar-17,2,2,1,no,
1,2,3,,,Boeing 777,Couple Leisure,Economy Class,London to Barbados,Mar-17,3,3,2,no,
4,1,3,,,Boeing 777,Solo Leisure,Economy Class,London Heathrow to Bangkok,Feb-17,2,4,3,no,1
2,2,4,,,Boeing 777-300,Solo Leisure,Economy Class,Beijing to London,Feb-17,3,4,3,no,
4,,2,,,A319,Couple Leisure,Business Class,LHR to GVA,Mar-17,4,2,2,no,
1,2,3,,,,Couple Leisure,Economy Class,Montreal to London Heathrow,Mar-17,2,1,1,no,2
1,1,4,,,Boeing 747-400 / 777-200,Family Leisure,Economy Class,GOT to SFO/PHX via LHR,Mar-17,3,3,2,no,
3,3,3,,,Boeing 777,Couple Leisure,Business Class,Gatwick to Mauritius,Mar-17,4,1,3,no,
4,4,4,,,Boeing 747-400,Couple Leisure,Business Class,San Diego to London,Mar-17,5,4,4,yes,
1,4,3,,,,Couple Leisure,Economy Class,London Heathrow to Dubai,Feb-17,2,4,1,no,
2,2,2,,,Boeing 777,Business,Business Class,Amsterdam to St Lucia via Gatwick,Feb-17,3,5,1,no,
1,,2,,,A321,Solo Leisure,Economy Class,London to Toulouse,Mar-17,1,2,1,no,
1,2,3,,,A320 / Boeing 777-200,Business,Economy Class,Edinburgh to Luanda via Heathrow,Mar-17,2,2,1,no,1
2,3,1,,,,Solo Leisure,Economy Class,London to Las Vegas,Mar-17,1,3,1,no,1
1,2,1,,,Boeing 777-200,Couple Leisure,Economy Class,Gatwick to Bridgetown,Feb-17,1,2,1,no,
1,3,3,,,,Couple Leisure,Economy Class,San Jose to Gatwick,Feb-17,4,4,5,yes,
3,3,2,,,Boeing 777,Business,Business Class,Orlando to London,Mar-17,2,1,1,no,
1,3,2,,,Boeing 787-9,Business,Business Class,Newark to London,Mar-17,3,4,2,no,
3,4,3,,,,Business,Premium Economy,Hyderabad to London,Mar-17,1,1,2,no,
1,2,2,,,Boeing 747,Couple Leisure,Economy Class,London to Chicago,Feb-17,3,2,1,no,
2,2,3,,,Boeing 747-400,Solo Leisure,Premium Economy,LHR to YVR,Mar-17,3,3,2,no,
1,,3,,,A320,Couple Leisure,Economy Class,London Heathrow to Gibraltar,Feb-17,2,2,3,no,
2,2,3,,,A380/A320,Solo Leisure,Economy Class,Singapore to Venice via London,Feb-17,3,3,3,no,
1,,3,,,A320,Family Leisure,Economy Class,London to Marrakech,Mar-17,1,3,1,no,
1,4,1,,,Boeing 747-400,Couple Leisure,Economy Class,Cape Town to London,Mar-17,3,4,3,no,
2,5,5,,,Boeing 747-400 & A320/321,Solo Leisure,Premium Economy,Kuwait to Edinburgh via London,Feb-17,3,5,3,no,
2,,1,,,A321,Couple Leisure,Business Class,London Heathrow to Pisa,Mar-17,4,1,1,no,
3,4,5,,,Boeing 777-200,Couple Leisure,Business Class,St Lucia to Gatwick,Mar-17,5,3,3,yes,
5,4,5,,,Boeing 747-400,Couple Leisure,Business Class,Cape Town to London,Mar-17,5,5,4,yes,
,,,,,,Business,Economy Class,Tehran to Vancouver via London,Mar-17,,,1,no,
1,1,2,,,,Solo Leisure,Economy Class,Malta to Gatwick,Feb-17,3,1,1,no,1
3,2,1,,,Boeing 767,Business,Economy Class,London to Larnaca,Feb-17,2,2,1,no,1
1,1,1,,,,Business,Business Class,Mumbai to Seattle via London,Feb-17,3,2,2,no,
3,5,5,,,Boeing 747-400,Business,Premium Economy,Chicago to London,Feb-17,5,4,4,yes,
1,1,1,,,Boeing 747-400,Couple Leisure,Economy Class,Phoenix to London Heathrow,Feb-17,2,2,1,no,1
5,4,5,,,Boeing 747-400,Business,Business Class,London to Chicago O'Hare,Feb-17,5,5,5,yes,
2,1,2,,,Boeing 777,Business,Premium Economy,London to Mumbai,Feb-17,2,2,3,no,
1,1,4,,,Boeing 777,Couple Leisure,Business Class,San Jose to London Gatwick,Feb-17,3,1,1,no,1
3,3,3,,,,Business,Economy Class,Amman to London,Feb-17,2,3,3,no,
1,5,4,,,A380,Solo Leisure,Economy Class,London to Miami,Dec-16,4,5,5,yes,
,,2,,,A320,Business,Economy Class,Lisbon to London,Feb-17,2,3,2,no,
2,3,5,,,A320,Solo Leisure,Economy Class,Berlin to London,Jan-17,5,5,2,yes,
1,1,3,,,A320,Solo Leisure,Economy Class,Istanbul to London,Feb-17,5,3,2,no,
1,1,1,,,Boeing 777-200,Business,First Class,London Heathrow to Chicago,Feb-17,1,3,1,no,1
