Food & Beverages,Inflight Entertainment,Seat Comfort,Staff Service,Value for Money,Aircraft,Type Of Traveller,Seat Type,Route,Date Flown,Cabin Staff Service,Ground Service,Value For Money,Recommended,Wifi & Connectivity
2,2,2,,,A380,Solo Leisure,Economy Class,Johannesburg to London,Dec-23,4,4,3,no,
4,4,3,,,Boeing 777,Solo Leisure,Economy Class,London Heathrow to Singapore,Dec-23,5,4,5,yes,
5,,3,,,A320,Solo Leisure,Business Class,Gatwick to Las Palmas,Dec-23,4,3,5,yes,
5,,4,,,A319,Couple Leisure,Economy Class,London Heathrow to Geneva,Dec-23,5,5,5,yes,5
5,4,5,,,,Solo Leisure,Economy Class,Madrid to San Francisco via London Heathrow,Nov-23,5,1,1,no,1
,,1,,,,Couple Leisure,Economy Class,Lisbon to London Heathrow,Nov-23,1,1,1,no,
4,4,4,,,A380,Couple Leisure,Business Class,Miami to London Heathrow,Nov-23,3,4,3,yes,3
,,1,,,,Family Leisure,Economy Class,Palma de Mallorca to Gatwick,Dec-23,1,1,1,no,
3,1,2,,,Boeing 787-9,Solo Leisure,Economy Class,London to Johannesburg,Nov-23,3,4,3,yes,1
1,1,1,,,,Family Leisure,Economy Class,Zürich to Tokyo Haneda via London,Jul-23,1,1,1,no,1
5,5,5,,,A380,Couple Leisure,First Class,London to Miami,Nov-23,5,4,4,yes,2
,,1,,,,Couple Leisure,Economy Class,London to Stuttgart,Nov-23,1,1,1,no,
1,2,2,,,A320,Business,Economy Class,Brussels to London,Nov-23,3,1,2,no,2
4,,3,,,A320,Couple Leisure,Business Class,London Heathrow to Dublin,Nov-23,3,4,3,yes,
,,3,,,,Couple Leisure,Economy Class,London to Dublin,Dec-22,3,1,1,no,
1,1,1,,,,Couple Leisure,Economy Class,London to Lisbon,Nov-23,1,1,1,no,1
1,1,1,,,A320,Solo Leisure,Economy Class,Bucharest to Manchester via London,Sep-23,1,1,1,no,
4,4,5,,,Boeing 777-300,Couple Leisure,Premium Economy,Manchester to Cape Town via London,Nov-23,5,4,4,yes,
3,,3,,,A320,Solo Leisure,Economy Class,Seville to London Gatwick,Nov-23,3,3,3,yes,
4,4,4,,,Boeing 777,Family Leisure,Economy Class,London Heatrow to Atlanta,Nov-23,5,3,5,yes,3
1,1,3,,,,Couple Leisure,Economy Class,Gatwick to Antalya,Oct-23,3,3,1,no,1
,,3,,,A320,Couple Leisure,Business Class,Dublin to London Heathrow,Nov-23,3,4,3,yes,
3,3,3,,,,Couple Leisure,Economy Class,Anchorage to Heathrow via Barcelona,Oct-23,3,1,1,no,3
1,,3,,,A320,Solo Leisure,Economy Class,London Heathrow to Gibraltar,Oct-23,1,3,2,no,1
4,3,4,,,,Couple Leisure,Economy Class,London to Philadelphia,Oct-23,5,5,5,yes,
3,,3,,,A321 neo,Business,Economy Class,London Heathrow to Cairo,Oct-23,5,5,2,yes,
3,3,2,,,,Couple Leisure,Economy Class,Seattle to Porto via Heathrow,Oct-23,3,1,1,no,3
3,,4,,,A320,Couple Leisure,Economy Class,Malta to London Gatwick,Oct-23,5,4,4,yes,
,,1,,,,Solo Leisure,Economy Class,London to Amsterdam,Oct-23,3,2,1,no,
2,3,3,,,A380-800,Solo Leisure,Economy Class,San Francisco to London,Oct-23,2,2,3,no,
1,1,2,,,,Solo Leisure,Business Class,İstanbul to London,Oct-23,1,2,1,no,1
1,5,1,,,,Couple Leisure,Economy Class,London to Austin,Oct-23,1,1,1,no,
1,,1,,,A320,Solo Leisure,Economy Class,Geneva to London Heathrow,Oct-23,2,1,2,no,
3,4,1,,,,Couple Leisure,Economy Class,Istanbul via London,Oct-23,3,1,1,no,
4,,4,,,A320,Couple Leisure,Business Class,Porto to London,Sep-23,5,1,4,no,
1,,2,,,A320-232,Solo Leisure,Economy Class,London Heathrow to Geneva,Oct-23,4,1,4,no,1
1,1,3,,,A320,Business,Business Class,London to Istanbul,Oct-23,4,3,2,no,1
3,2,3,,,,Couple Leisure,Economy Class,London Gatwick to Punta Cana,Oct-23,3,2,2,no,
3,3,1,,,,Solo Leisure,Business Class,London to Hong Kong,Jul-23,5,5,1,no,
1,,1,,,A320,Couple Leisure,Economy Class,Catania to Gatwick,Oct-23,1,1,1,no,
,,,,,,Couple Leisure,Economy Class,Gatwick to Venice,Sep-23,,1,1,no,
1,,3,,,A321,Solo Leisure,Economy Class,Berlin to London,Oct-23,1,1,1,no,
1,4,3,,,,Couple Leisure,Economy Class,Atlanta to Glasgow via London,Sep-23,3,1,3,no,4
2,1,1,,,Boeing 787,Couple Leisure,Economy Class,Singapore to Sydney,Oct-23,1,1,1,no,
5,4,5,,,Boeing 777,Solo Leisure,First Class,London to New York JFK,Oct-23,5,5,5,yes,5
1,1,1,,,BA366,Couple Leisure,Business Class,Heathrow to Marseille,Aug-23,1,1,1,no,1
1,,2,,,A380,Couple Leisure,Economy Class,Chicago to Manchester via Heathrow,Oct-23,3,2,2,no,
2,,2,,,A320,Business,Business Class,London Heathrow to Munich,Sep-23,1,1,1,no,1
2,,2,,,A320,Couple Leisure,Business Class,Heathrow to Istanbul,Sep-23,3,1,1,no,
2,,4,,,A320,Business,Economy Class,London to Geneva,Oct-23,4,1,1,no,
1,1,1,,,,Couple Leisure,Business Class,Athens to London,Sep-23,1,1,1,no,1
2,4,3,,,,Business,Economy Class,Milan to San Jose via London,Sep-23,3,1,1,no,1
4,3,1,,,777-300 and A320,Couple Leisure,First Class,Dallas to Dubrovnik via Heathrow,Sep-23,4,3,2,no,3
1,,2,,,A321,Business,Business Class,London to Seville,Sep-23,1,1,1,no,
1,3,1,,,,Couple Leisure,Economy Class,London Heathrow to Tokyo,Sep-23,1,2,1,no,
2,1,1,,,,Solo Leisure,Business Class,Miami to Dublin via London Heathrow,Aug-23,3,1,1,no,1
3,,1,,,,Business,Business Class,Prague to San Francisco via London,Sep-23,3,1,1,no,1
1,1,1,,,,Business,Economy Class,London to Glasgow,Sep-23,1,1,1,no,1
